modulation,powerPolicy,k,NR,NRdB,status,BER,upper95,numErrors,numBits,numRealizations,throughputMbps,payloadSE
QPSK,boosted,7,64,18.0617997398389,nominal,7.99478100695866e-07,NaN,16,20013056,698,101.201107600391,0.411788361004194
QPSK,boosted,7,144,21.5836249209525,nominal,0,1.49688885509036e-07,0,20013056,698,101.201107600391,0.411788361004194
QPSK,boosted,7,256,24.0823996531185,nominal,0,1.49688885509036e-07,0,20013056,698,101.201107600391,0.411788361004194
QPSK,boosted,7,400,26.0205999132796,nominal,0,1.49688885509036e-07,0,20013056,698,101.201107600391,0.411788361004194
QPSK,boosted,8,64,18.0617997398389,aggressive,0.000678168402777778,NaN,200,294912,9,115.658408686161,0.470615269719078
QPSK,boosted,8,144,21.5836249209525,aggressive,0.000127052774234694,NaN,204,1605632,49,115.658408686161,0.470615269719078
QPSK,boosted,8,256,24.0823996531185,aggressive,4.04206332781457e-05,NaN,200,4947968,151,115.658408686161,0.470615269719078
QPSK,boosted,8,400,26.0205999132796,aggressive,1.59360721279373e-05,NaN,200,12550144,383,115.658408686161,0.470615269719078
QPSK,boosted,9,64,18.0617997398389,overloaded,0.00295681423611111,NaN,218,73728,2,130.115709771931,0.529442178433963
QPSK,boosted,9,144,21.5836249209525,overloaded,0.00110677083333333,NaN,204,184320,5,130.115709771931,0.529442178433963
QPSK,boosted,9,256,24.0823996531185,overloaded,0.000527738320707071,NaN,214,405504,11,130.115709771931,0.529442178433963
QPSK,boosted,9,400,26.0205999132796,overloaded,0.000440287793803419,NaN,211,479232,13,130.115709771931,0.529442178433963
QPSK,boosted,10,64,18.0617997398389,overloaded,0.008740234375,NaN,358,40960,1,144.573010857701,0.588269087148848
QPSK,boosted,10,144,21.5836249209525,overloaded,0.0062744140625,NaN,257,40960,1,144.573010857701,0.588269087148848
QPSK,boosted,10,256,24.0823996531185,overloaded,0.00440673828125,NaN,361,81920,2,144.573010857701,0.588269087148848
QPSK,boosted,10,400,26.0205999132796,overloaded,0.00469970703125,NaN,385,81920,2,144.573010857701,0.588269087148848
16-QAM,boosted,4,64,18.0617997398389,nominal,0.0010986328125,NaN,216,196608,6,115.658408686161,0.470615269719078
16-QAM,boosted,4,144,21.5836249209525,nominal,8.44103224734043e-06,NaN,169,20021248,611,115.658408686161,0.470615269719078
16-QAM,boosted,4,256,24.0823996531185,nominal,4.99469363747954e-08,NaN,1,20021248,611,115.658408686161,0.470615269719078
16-QAM,boosted,4,400,26.0205999132796,nominal,0,1.49627638057481e-07,0,20021248,611,115.658408686161,0.470615269719078
16-QAM,boosted,5,64,18.0617997398389,aggressive,0.00308837890625,NaN,253,81920,2,144.573010857701,0.588269087148848
16-QAM,boosted,5,144,21.5836249209525,aggressive,6.51041666666667e-05,NaN,200,3072000,75,144.573010857701,0.588269087148848
16-QAM,boosted,5,256,24.0823996531185,aggressive,1.59764826175869e-06,NaN,32,20029440,489,144.573010857701,0.588269087148848
16-QAM,boosted,5,400,26.0205999132796,aggressive,4.99265081799591e-08,NaN,1,20029440,489,144.573010857701,0.588269087148848
16-QAM,boosted,6,64,18.0617997398389,overloaded,0.00618489583333333,NaN,304,49152,1,173.487613029241,0.705922904578618
16-QAM,boosted,6,144,21.5836249209525,overloaded,0.000247730928308824,NaN,207,835584,17,173.487613029241,0.705922904578618
16-QAM,boosted,6,256,24.0823996531185,overloaded,1.59569035947712e-05,NaN,200,12533760,255,173.487613029241,0.705922904578618
16-QAM,boosted,6,400,26.0205999132796,overloaded,8.99781173218673e-07,NaN,18,20004864,407,173.487613029241,0.705922904578618
16-QAM,boosted,7,64,18.0617997398389,overloaded,0.0104457310267857,NaN,599,57344,1,202.402215200781,0.823576722008387
16-QAM,boosted,7,144,21.5836249209525,overloaded,0.00104631696428571,NaN,240,229376,4,202.402215200781,0.823576722008387
16-QAM,boosted,7,256,24.0823996531185,overloaded,0.000157705745341615,NaN,208,1318912,23,202.402215200781,0.823576722008387
16-QAM,boosted,7,400,26.0205999132796,overloaded,4.61205503994361e-05,NaN,201,4358144,76,202.402215200781,0.823576722008387
16-QAM,boosted,8,64,18.0617997398389,overloaded,0.0352783203125,NaN,2312,65536,1,231.316817372321,0.941230539438157
16-QAM,boosted,8,144,21.5836249209525,overloaded,0.022491455078125,NaN,1474,65536,1,231.316817372321,0.941230539438157
16-QAM,boosted,8,256,24.0823996531185,overloaded,0.0198822021484375,NaN,1303,65536,1,231.316817372321,0.941230539438157
16-QAM,boosted,8,400,26.0205999132796,overloaded,0.0191497802734375,NaN,1255,65536,1,231.316817372321,0.941230539438157
QPSK,unboosted,7,64,18.0617997398389,nominal,0.00690569196428571,NaN,396,57344,2,101.201107600391,0.411788361004194
QPSK,unboosted,7,144,21.5836249209525,nominal,0.00016011820211039,NaN,202,1261568,44,101.201107600391,0.411788361004194
QPSK,unboosted,7,256,24.0823996531185,nominal,2.3984343020876e-06,NaN,48,20013056,698,101.201107600391,0.411788361004194
QPSK,unboosted,7,400,26.0205999132796,nominal,0,1.49688885509036e-07,0,20013056,698,101.201107600391,0.411788361004194
QPSK,unboosted,8,64,18.0617997398389,aggressive,0.011566162109375,NaN,379,32768,1,115.658408686161,0.470615269719078
QPSK,unboosted,8,144,21.5836249209525,aggressive,0.002227783203125,NaN,219,98304,3,115.658408686161,0.470615269719078
QPSK,unboosted,8,256,24.0823996531185,aggressive,0.000684950086805556,NaN,202,294912,9,115.658408686161,0.470615269719078
QPSK,unboosted,8,400,26.0205999132796,aggressive,0.000326056229440789,NaN,203,622592,19,115.658408686161,0.470615269719078
QPSK,unboosted,9,64,18.0617997398389,overloaded,0.0177680121527778,NaN,655,36864,1,130.115709771931,0.529442178433963
QPSK,unboosted,9,144,21.5836249209525,overloaded,0.00542534722222222,NaN,200,36864,1,130.115709771931,0.529442178433963
QPSK,unboosted,9,256,24.0823996531185,overloaded,0.00181749131944444,NaN,201,110592,3,130.115709771931,0.529442178433963
QPSK,unboosted,9,400,26.0205999132796,overloaded,0.00146484375,NaN,216,147456,4,130.115709771931,0.529442178433963
QPSK,unboosted,10,64,18.0617997398389,overloaded,0.0264404296875,NaN,1083,40960,1,144.573010857701,0.588269087148848
QPSK,unboosted,10,144,21.5836249209525,overloaded,0.011572265625,NaN,474,40960,1,144.573010857701,0.588269087148848
QPSK,unboosted,10,256,24.0823996531185,overloaded,0.0068359375,NaN,280,40960,1,144.573010857701,0.588269087148848
QPSK,unboosted,10,400,26.0205999132796,overloaded,0.0058837890625,NaN,241,40960,1,144.573010857701,0.588269087148848
16-QAM,unboosted,4,64,18.0617997398389,nominal,0.099517822265625,NaN,3261,32768,1,115.658408686161,0.470615269719078
16-QAM,unboosted,4,144,21.5836249209525,nominal,0.036285400390625,NaN,1189,32768,1,115.658408686161,0.470615269719078
16-QAM,unboosted,4,256,24.0823996531185,nominal,0.011383056640625,NaN,373,32768,1,115.658408686161,0.470615269719078
16-QAM,unboosted,4,400,26.0205999132796,nominal,0.002655029296875,NaN,261,98304,3,115.658408686161,0.470615269719078
16-QAM,unboosted,5,64,18.0617997398389,aggressive,0.100732421875,NaN,4126,40960,1,144.573010857701,0.588269087148848
16-QAM,unboosted,5,144,21.5836249209525,aggressive,0.0389404296875,NaN,1595,40960,1,144.573010857701,0.588269087148848
16-QAM,unboosted,5,256,24.0823996531185,aggressive,0.012158203125,NaN,498,40960,1,144.573010857701,0.588269087148848
16-QAM,unboosted,5,400,26.0205999132796,aggressive,0.00340576171875,NaN,279,81920,2,144.573010857701,0.588269087148848
16-QAM,unboosted,6,64,18.0617997398389,overloaded,0.103495279947917,NaN,5087,49152,1,173.487613029241,0.705922904578618
16-QAM,unboosted,6,144,21.5836249209525,overloaded,0.0398966471354167,NaN,1961,49152,1,173.487613029241,0.705922904578618
16-QAM,unboosted,6,256,24.0823996531185,overloaded,0.0125325520833333,NaN,616,49152,1,173.487613029241,0.705922904578618
16-QAM,unboosted,6,400,26.0205999132796,overloaded,0.00343831380208333,NaN,338,98304,2,173.487613029241,0.705922904578618
16-QAM,unboosted,7,64,18.0617997398389,overloaded,0.104579380580357,NaN,5997,57344,1,202.402215200781,0.823576722008387
16-QAM,unboosted,7,144,21.5836249209525,overloaded,0.0419049944196429,NaN,2403,57344,1,202.402215200781,0.823576722008387
16-QAM,unboosted,7,256,24.0823996531185,overloaded,0.0146135602678571,NaN,838,57344,1,202.402215200781,0.823576722008387
16-QAM,unboosted,7,400,26.0205999132796,overloaded,0.00484793526785714,NaN,278,57344,1,202.402215200781,0.823576722008387
16-QAM,unboosted,8,64,18.0617997398389,overloaded,0.115158081054688,NaN,7547,65536,1,231.316817372321,0.941230539438157
16-QAM,unboosted,8,144,21.5836249209525,overloaded,0.0588836669921875,NaN,3859,65536,1,231.316817372321,0.941230539438157
16-QAM,unboosted,8,256,24.0823996531185,overloaded,0.0355682373046875,NaN,2331,65536,1,231.316817372321,0.941230539438157
16-QAM,unboosted,8,400,26.0205999132796,overloaded,0.025726318359375,NaN,1686,65536,1,231.316817372321,0.941230539438157
