scenario,modulation,NR,NRdB,k,powerPolicy,BER,upper95,numErrors,numBits,numRealizations,throughputMbps,payloadSE,occupancyPct,boostDb,seed,sourceFile
single_satellite,QPSK,64,18.0617997398389,NaN,not_applicable,0.03150634765625,NaN,10324,327680,5,476.63955964606,1.93945133319523,NaN,NaN,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\fase7_propuesta\comparison_scenarios\results\montecarlo_scenario_a_b_results.mat
baseline_compensated,QPSK,64,18.0617997398389,NaN,not_applicable,0.0077056884765625,NaN,505,65536,1,476.63955964606,1.93945133319523,NaN,NaN,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\results\fase6_baseline\baseline_no_geom_ber_results.mat
no_compensation,QPSK,64,18.0617997398389,NaN,not_applicable,0.182586669921875,NaN,11966,65536,1,476.63955964606,1.93945133319523,NaN,NaN,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\results\fase7_propuesta\official\no_compensation_final_results.mat
proposal,QPSK,64,18.0617997398389,7,boosted,5.49641194228408e-07,NaN,11,20013056,698,101.201107600391,0.411788361004194,21.875,6.60051938305649,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\results\los_channel_noise\data\checkpoint_f_ber_montecarlo_results_finalized.mat
single_satellite,QPSK,100,20,NaN,not_applicable,0.0099517822265625,NaN,3261,327680,5,476.63955964606,1.93945133319523,NaN,NaN,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\fase7_propuesta\comparison_scenarios\results\montecarlo_scenario_a_b_results.mat
baseline_compensated,QPSK,100,20,NaN,not_applicable,0.0012054443359375,NaN,237,196608,3,476.63955964606,1.93945133319523,NaN,NaN,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\results\fase6_baseline\baseline_no_geom_ber_results.mat
no_compensation,QPSK,100,20,NaN,not_applicable,0.164749145507812,NaN,10797,65536,1,476.63955964606,1.93945133319523,NaN,NaN,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\results\fase7_propuesta\official\no_compensation_final_results.mat
proposal,QPSK,100,20,7,boosted,0,1.49688885509036e-07,0,20013056,698,101.201107600391,0.411788361004194,21.875,6.60051938305649,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\results\los_channel_noise\data\checkpoint_f_ber_montecarlo_results_finalized.mat
single_satellite,QPSK,144,21.5836249209525,NaN,not_applicable,0.0025360107421875,NaN,831,327680,5,476.63955964606,1.93945133319523,NaN,NaN,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\fase7_propuesta\comparison_scenarios\results\montecarlo_scenario_a_b_results.mat
baseline_compensated,QPSK,144,21.5836249209525,NaN,not_applicable,0.000178866916232639,NaN,211,1179648,18,476.63955964606,1.93945133319523,NaN,NaN,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\results\fase6_baseline\baseline_no_geom_ber_results.mat
