scenario,modulation,NR,NRdB,k,powerPolicy,BER,upper95,numErrors,numBits,numRealizations,throughputMbps,payloadSE,occupancyPct,boostDb,seed,sourceFile
proposal,QPSK,64,18.0617997398389,7,boosted,5.49641194228408e-07,NaN,11,20013056,698,101.201107600391,0.411788361004194,21.875,6.60051938305649,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\results\los_channel_noise\data\checkpoint_f_ber_montecarlo_results_finalized.mat
proposal,QPSK,64,18.0617997398389,7,unboosted,0.00714983258928571,NaN,205,28672,1,101.201107600391,0.411788361004194,21.875,0,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\results\los_channel_noise\data\checkpoint_f_unboosted_ber_montecarlo_results.mat
proposal,QPSK,100,20,7,boosted,0,1.49688885509036e-07,0,20013056,698,101.201107600391,0.411788361004194,21.875,6.60051938305649,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\results\los_channel_noise\data\checkpoint_f_ber_montecarlo_results_finalized.mat
proposal,QPSK,100,20,7,unboosted,0.00118001302083333,NaN,203,172032,6,101.201107600391,0.411788361004194,21.875,0,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\results\los_channel_noise\data\checkpoint_f_unboosted_ber_montecarlo_results.mat
proposal,QPSK,144,21.5836249209525,7,boosted,0,1.49688885509036e-07,0,20013056,698,101.201107600391,0.411788361004194,21.875,6.60051938305649,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\results\los_channel_noise\data\checkpoint_f_ber_montecarlo_results_finalized.mat
proposal,QPSK,144,21.5836249209525,7,unboosted,0.000166082057823129,NaN,200,1204224,42,101.201107600391,0.411788361004194,21.875,0,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\results\los_channel_noise\data\checkpoint_f_unboosted_ber_montecarlo_results.mat
proposal,QPSK,256,24.0823996531185,7,boosted,0,1.49688885509036e-07,0,20013056,698,101.201107600391,0.411788361004194,21.875,6.60051938305649,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\results\los_channel_noise\data\checkpoint_f_ber_montecarlo_results_finalized.mat
proposal,QPSK,256,24.0823996531185,7,unboosted,1.84879310785919e-06,NaN,37,20013056,698,101.201107600391,0.411788361004194,21.875,0,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\results\los_channel_noise\data\checkpoint_f_unboosted_ber_montecarlo_results.mat
proposal,QPSK,400,26.0205999132796,7,boosted,0,1.49688885509036e-07,0,20013056,698,101.201107600391,0.411788361004194,21.875,6.60051938305649,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\results\los_channel_noise\data\checkpoint_f_ber_montecarlo_results_finalized.mat
proposal,QPSK,400,26.0205999132796,7,unboosted,0,1.49688885509036e-07,0,20013056,698,101.201107600391,0.411788361004194,21.875,0,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\results\los_channel_noise\data\checkpoint_f_unboosted_ber_montecarlo_results.mat
